"Relação de Alunos Desistência dos Cursos – PG
Bacharelado em Ciência da Computação 
Tecnologia Em Análise E Desenvolvimento De Sistemas",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
#,id,Ano Ingresso,Per. Ingresso,Curso,Forma de Ingresso,Tipo de Cota,Sigla Cota,Escola Pública?,Coeficiente,Escore Vest,Nota Enem,Sexo,Idade,Data Nascimento,Cidade,Estado,Grupo (Étnico),Situação Atual do Aluno,Período do Aluno,Ano Desistência,Período Desistências
46,cuynpx,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,4598",,,F,27,25/01/1992,Ponta Grossa,PR,Branca,Jubilado,5,2017,2
47,n+zrnz,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,4313",,"614,9",F,26,14/01/1993,Ponta Grossa,PR,Branca,Jubilado,5,2017,2
48,8jfh5c,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,5411",,"583,8",M,27,20/03/1992,Ponta Grossa,PR,Branca,Formado,8,2018,1
49,hfobnz,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,4404",,"554,2",M,28,19/06/1991,Ponta Grossa,PR,Branca,Desistente,1,2010,2
50,qphzow,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,0,,"630,1",M,28,04/03/1991,Curitiba,PR,Não declarado,Desistente,1,2010,2
51,qxzqjk,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,0,,518,M,27,30/01/1992,Ponta Grossa,PR,Não declarado,Desistente,1,2010,2
52,5a5a5c,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Pública,0,,"570,9",F,45,19/03/1974,Ponta Grossa,PR,Não declarado,Desistente,1,2010,2
53,spgqjk,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,0133",,"573,9",M,30,30/10/1988,,,Não declarado,Desistente,1,2010,2
54,+894ow,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,0,,,M,30,14/11/1988,,,Não declarado,Desistente,1,2010,2
55,cdu5ff,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,0,,"669,1",M,27,13/01/1992,Penápolis,SP,Não declarado,Desistente,1,2010,2
56,txbqjk,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,5274",,"621,3",M,27,11/01/1992,Maringá,PR,Não declarado,Desistente,2,2011,1
57,p7hxjk,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,6406",,668,M,29,23/04/1990,Ponta Grossa,PR,Não declarado,Transferido,2,2011,2
58,q1frpx,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,81947",,"655,3",M,27,11/06/1992,Rio Negrinho,SC,Branca,Transferido,4,2012,1
59,+gonpx,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,5336",,"560,6",M,26,27/11/1992,Ponta Grossa,PR,Branca,Desistente,2,2012,2
60,txrp9t,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Pública,"0,18771",,"576,2",M,29,12/08/1990,Sorocaba,SP,Branca,Desistente,2,2013,1
61,cronpx,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,2251",,"565,7",M,28,29/06/1991,Ponta Grossa,PR,Branca,Desistente,1,2013,1
62,turp9t,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,235",,"612,2",M,27,25/08/1992,Ponta Grossa,PR,Branca,Desistente,1,2013,1
63,irpda8,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,3195",,"613,6",M,31,12/06/1988,Ponta Grossa,PR,Branca,Desistente,1,2013,1
64,fkexwn,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,246",,"614,4",M,26,17/10/1992,São Mateus do Sul,PR,Branca,Desistente,1,2013,1
65,5h5a5c,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Pública,"0,263",,"585,9",M,26,04/10/1992,Ponta Grossa,PR,Branca,Desistente,1,2013,1
66,rf1da8,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Pública,"0,4747",,"583,7",M,30,10/08/1989,Ponta Grossa,PR,Parda,Desistente,3,2013,1
67,ki73ff,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Pública,"0,2574",,"580,8",F,27,17/03/1992,Ponta Grossa,PR,Não declarado,Desistente,1,2013,2
68,bk9bnz,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,3501",,"518,5",F,28,13/06/1991,Ponta Grossa,PR,Parda,Desistente,2,2013,2
69,dcexwn,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,8198",,"571,2",M,27,01/09/1992,Ivaí,PR,Branca,Mudou de Curso,5,2013,2
